trip_id,stop_id,stop_sequence,delay,category,operator
9322658637300332601,8003729,8,0,SBB,L721
9323763378802562560,8083368,13,180,S,800352
9323763378802562560,8083368,13,240,S,800352
9331600853938585025,8083368,10,120,S,8003S
9331600853938585025,8083368,10,60,S,8003S
9332419214446566939,8003400,9,60,S,850065
9341275004616020523,8003293,1,300,S,kvv021
9341275004616020523,8002068,2,360,S,kvv021
9341275004616020523,8002068,2,300,S,kvv021
9341275004616020523,8000107,4,240,S,kvv021
9341275004616020523,8000107,4,300,S,kvv021
9355253771083841820,8083368,4,60,S,8003S
9355253771083841820,8083368,4,120,S,8003S
9365188400033040142,8007646,1,0,HzL,R7
9365188400033040142,8005911,2,60,HzL,R7
9373196379208502176,8003729,7,0,SBB,L721
9373196379208502176,8003729,7,60,SBB,L721
9383965594118279294,8083368,18,0,RB,800352
9383965594118279294,8083368,18,60,RB,800352
9407136859803652557,8000290,1,120,SWE,S6
9407136859803652557,8000596,2,180,SWE,S6
9407136859803652557,8000596,2,120,SWE,S6
9407136859803652557,8003609,3,60,SWE,S6
9407136859803652557,8003609,3,120,SWE,S6
9407136859803652557,8003408,4,0,SWE,S6
9407136859803652557,8003408,4,60,SWE,S6
9407136859803652557,8003218,5,60,SWE,S6
9407136859803652557,8003218,5,60,SWE,S6
9408592719504570325,8003729,12,60,SBB,L721
9408592719504570325,8003729,12,60,SBB,L721
9427913549910437045,8003293,1,360,S,800725
9427913549910437045,8002068,2,360,S,800725
9427913549910437045,8002068,2,300,S,800725
9427913549910437045,8000107,4,240,S,800725
9427913549910437045,8000107,4,300,S,800725
9430321340395181636,8001865,8,0,SBB,85L7
9433484491267759450,8000290,1,120,RE,8006C5
9433484491267759450,8000596,2,120,RE,8006C5
9433484491267759450,8000596,2,60,RE,8006C5
9433484491267759450,8005037,3,60,RE,8006C5
9433484491267759450,8005037,3,60,RE,8006C5
9433484491267759450,8000412,4,60,RE,8006C5
9433484491267759450,8000412,4,60,RE,8006C5
9436091529349665076,8002096,1,0,HzL,R7
9436091529349665076,8004111,2,240,HzL,R7
9436091529349665076,8004111,2,0,HzL,R7
9436091529349665076,8005723,3,0,HzL,R7
9436091529349665076,8005723,3,0,HzL,R7
9436091529349665076,8004235,4,0,HzL,R7
9436091529349665076,8004235,4,0,HzL,R7
9436091529349665076,8000456,5,0,HzL,R7
9436091529349665076,8000456,5,0,HzL,R7
9436091529349665076,8079056,6,0,HzL,R7
9436091529349665076,8079056,6,0,HzL,R7
9436091529349665076,8000163,7,240,HzL,R7
9436091529349665076,8000163,7,0,HzL,R7
9436091529349665076,8005946,8,180,HzL,R7
9436091529349665076,8005946,8,0,HzL,R7
9436091529349665076,8004068,9,0,HzL,R7
9436091529349665076,8004068,9,0,HzL,R7
9436091529349665076,8004067,10,0,HzL,R7
9436091529349665076,8004067,10,0,HzL,R7
9436091529349665076,8003061,11,180,HzL,R7
9436091529349665076,8003061,11,0,HzL,R7
9436091529349665076,8000182,12,0,HzL,R7
9438860339815294713,8001865,1,0,SBB,L724
9447664842009682399,8083368,9,0,S,800352
9447664842009682399,8083368,9,0,S,800352
9457122149658544672,8003400,1,0,S,850065
9464888214138572022,8083368,11,0,S,800156
9464888214138572022,8083368,11,0,S,800156
9466976279773552585,8083368,18,0,S,8003S
9466976279773552585,8083368,18,0,S,8003S
9474584821094074319,8000107,14,0,S,kvv021
